Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Global,2005 - 2010,All ages,Both,Larynx cancer,Deaths annual % change,0.0017714764839048,,
Global,2005 - 2010,All ages,Both,Breast cancer,Deaths annual % change,0.0064601039403448,,
Global,2005 - 2010,All ages,Both,Cervical cancer,Deaths annual % change,-0.0037467915161701,,
Global,2005 - 2010,All ages,Both,Uterine cancer,Deaths annual % change,0.0038400803293594,,
Global,2005 - 2010,All ages,Both,Prostate cancer,Deaths annual % change,0.0114182267703886,,
Global,2005 - 2010,All ages,Both,Colon and rectum cancer,Deaths annual % change,0.0093316367934121,,
Global,2005 - 2010,All ages,Both,Lip and oral cavity cancer,Deaths annual % change,0.0174307350194793,,
Global,2005 - 2010,All ages,Both,Nasopharynx cancer,Deaths annual % change,0.003331598304275,,
Global,2005 - 2010,All ages,Both,Other pharynx cancer,Deaths annual % change,0.0225172833890666,,
Global,2005 - 2010,All ages,Both,Gallbladder and biliary tract cancer,Deaths annual % change,0.0088861733841288,,
Global,2005 - 2010,All ages,Both,Pancreatic cancer,Deaths annual % change,0.0218499748722376,,
Global,2005 - 2010,All ages,Both,Malignant skin melanoma,Deaths annual % change,0.0092972487374766,,
Global,2005 - 2010,All ages,Both,Non-melanoma skin cancer,Deaths annual % change,0.0218328162786414,,
Global,2005 - 2010,All ages,Both,Ovarian cancer,Deaths annual % change,0.0077590611051949,,
Global,2005 - 2010,All ages,Both,Testicular cancer,Deaths annual % change,-0.0033453960487713,,
Global,2005 - 2010,All ages,Both,Kidney cancer,Deaths annual % change,0.0134920495788883,,
Global,2005 - 2010,All ages,Both,Bladder cancer,Deaths annual % change,0.0076286794767816,,
Global,2005 - 2010,All ages,Both,Brain and nervous system cancer,Deaths annual % change,0.0077316804940062,,
Global,2005 - 2010,All ages,Both,Thyroid cancer,Deaths annual % change,0.0160300064462895,,
Global,2005 - 2010,All ages,Both,Mesothelioma,Deaths annual % change,0.0169157387259865,,
Global,2005 - 2010,All ages,Both,Hodgkin lymphoma,Deaths annual % change,-0.0155094341424611,,
Global,2005 - 2010,All ages,Both,Non-Hodgkin lymphoma,Deaths annual % change,0.0119601648577434,,
Global,2005 - 2010,All ages,Both,Multiple myeloma,Deaths annual % change,0.0125264072565639,,
Global,2005 - 2010,All ages,Both,Leukemia,Deaths annual % change,-0.0018041898524409,,
Global,2005 - 2010,All ages,Both,Other malignant neoplasms,Deaths annual % change,0.0189690381369141,,
Global,2005 - 2010,All ages,Both,Other neoplasms,Deaths annual % change,0.0183903250536992,,
Global,2005 - 2010,All ages,Both,Rheumatic heart disease,Deaths annual % change,-0.0174829476322989,,
Global,2005 - 2010,All ages,Both,Ischemic heart disease,Deaths annual % change,0.003884185158542,,
Global,2005 - 2010,All ages,Both,Stroke,Deaths annual % change,-0.0069864855655872,,
Global,2005 - 2010,All ages,Both,Hypertensive heart disease,Deaths annual % change,0.0242050673353062,,
Global,2005 - 2010,All ages,Both,Cardiomyopathy and myocarditis,Deaths annual % change,-0.0102747128987381,,
Global,2005 - 2010,All ages,Both,Atrial fibrillation and flutter,Deaths annual % change,0.025084055862065,,
Global,2005 - 2010,All ages,Both,Aortic aneurysm,Deaths annual % change,-0.0001149739121301,,
Global,2005 - 2010,All ages,Both,Peripheral artery disease,Deaths annual % change,0.0329399818101206,,
Global,2005 - 2010,All ages,Both,Endocarditis,Deaths annual % change,0.0131310894986743,,
Global,2005 - 2010,All ages,Both,Non-rheumatic valvular heart disease,Deaths annual % change,0.022130853816456,,
Global,2005 - 2010,All ages,Both,Other cardiovascular and circulatory diseases,Deaths annual % change,0.0034045749843206,,
Global,2005 - 2010,All ages,Both,Chronic obstructive pulmonary disease,Deaths annual % change,-0.0065446304618717,,
Global,2005 - 2010,All ages,Both,Pneumoconiosis,Deaths annual % change,-0.0157865050744023,,
Global,2005 - 2010,All ages,Both,Asthma,Deaths annual % change,-0.0162356356046732,,
Global,2005 - 2010,All ages,Both,Interstitial lung disease and pulmonary sarcoidosis,Deaths annual % change,0.0323684542168693,,
Global,2005 - 2010,All ages,Both,Other chronic respiratory diseases,Deaths annual % change,0.00914188593461,,
Global,2005 - 2010,All ages,Both,Cirrhosis and other chronic liver diseases,Deaths annual % change,-0.0010887562985817,,
Global,2005 - 2010,All ages,Both,Appendicitis,Deaths annual % change,-0.0100376342941654,,
Global,2005 - 2010,All ages,Both,Paralytic ileus and intestinal obstruction,Deaths annual % change,0.0051534182285708,,
Global,2005 - 2010,All ages,Both,Inflammatory bowel disease,Deaths annual % change,0.0032567400579825,,
Global,2005 - 2010,All ages,Both,Vascular intestinal disorders,Deaths annual % change,0.0071112505168184,,
Global,2005 - 2010,All ages,Both,Gallbladder and biliary diseases,Deaths annual % change,0.0071182689130887,,
Global,2005 - 2010,All ages,Both,Pancreatitis,Deaths annual % change,0.0050303751409118,,
Global,2005 - 2010,All ages,Both,Other digestive diseases,Deaths annual % change,0.004604540870933,,
Global,2005 - 2010,All ages,Both,Alzheimer's disease and other dementias,Deaths annual % change,0.0247073309062079,,
Global,2005 - 2010,All ages,Both,Parkinson's disease,Deaths annual % change,0.0214298992609986,,
Global,2005 - 2010,All ages,Both,Epilepsy,Deaths annual % change,-0.0121798129435286,,
Global,2005 - 2010,All ages,Both,Multiple sclerosis,Deaths annual % change,0.0030184829920212,,
Global,2005 - 2010,All ages,Both,Motor neuron disease,Deaths annual % change,0.0171840431109009,,
Global,2005 - 2010,All ages,Both,Other neurological disorders,Deaths annual % change,0.0084225048398002,,
Global,2005 - 2010,All ages,Both,Schizophrenia,Deaths annual % change,0.0,,
Global,2005 - 2010,All ages,Both,Alcohol use disorders,Deaths annual % change,-0.0309869099082793,,
Global,2005 - 2010,All ages,Both,Drug use disorders,Deaths annual % change,0.010682145695321,,
Global,2005 - 2010,All ages,Both,Depressive disorders,Deaths annual % change,0.0,,
Global,2005 - 2010,All ages,Both,Bipolar disorder,Deaths annual % change,0.0,,
Global,2005 - 2010,All ages,Both,Anxiety disorders,Deaths annual % change,0.0,,
Global,2005 - 2010,All ages,Both,Eating disorders,Deaths annual % change,0.0053549043746982,,
Global,2005 - 2010,All ages,Both,Autism spectrum disorders,Deaths annual % change,0.0,,
Global,2005 - 2010,All ages,Both,Attention-deficit/hyperactivity disorder,Deaths annual % change,0.0,,
Global,2005 - 2010,All ages,Both,Conduct disorder,Deaths annual % change,0.0,,
Global,2005 - 2010,All ages,Both,Idiopathic developmental intellectual disability,Deaths annual % change,0.0,,
Global,2005 - 2010,All ages,Both,Other mental disorders,Deaths annual % change,0.0,,
Global,2005 - 2010,All ages,Both,Diabetes mellitus,Deaths annual % change,0.0090209303006913,,
Global,2005 - 2010,All ages,Both,Acute glomerulonephritis,Deaths annual % change,-0.0096424204088776,,
Global,2005 - 2010,All ages,Both,Chronic kidney disease,Deaths annual % change,0.0174147789677688,,
Global,2005 - 2010,All ages,Both,Urinary diseases and male infertility,Deaths annual % change,0.0169997242546956,,
Global,2005 - 2010,All ages,Both,Gynecological diseases,Deaths annual % change,0.0009031220223035,,
Global,2005 - 2010,All ages,Both,Hemoglobinopathies and hemolytic anemias,Deaths annual % change,-0.0099076316676545,,
Global,2005 - 2010,All ages,Both,Rheumatoid arthritis,Deaths annual % change,0.0067036445932506,,
Global,2005 - 2010,All ages,Both,Osteoarthritis,Deaths annual % change,0.0,,
Global,2005 - 2010,All ages,Both,Low back pain,Deaths annual % change,0.0,,
Global,2005 - 2010,All ages,Both,Neck pain,Deaths annual % change,0.0,,
Global,2005 - 2010,All ages,Both,Gout,Deaths annual % change,0.0,,
Global,2005 - 2010,All ages,Both,Other musculoskeletal disorders,Deaths annual % change,0.0129563258175608,,
Global,2005 - 2010,All ages,Both,Congenital birth defects,Deaths annual % change,-0.0255429252532611,,
Global,2005 - 2010,All ages,Both,Dermatitis,Deaths annual % change,0.0,,
Global,2005 - 2010,All ages,Both,Psoriasis,Deaths annual % change,0.0,,
Global,2005 - 2010,All ages,Both,Scabies,Deaths annual % change,0.0,,
Global,2005 - 2010,All ages,Both,Fungal skin diseases,Deaths annual % change,0.0,,
Global,2005 - 2010,All ages,Both,Viral skin diseases,Deaths annual % change,0.0,,
Global,2005 - 2010,All ages,Both,Acne vulgaris,Deaths annual % change,0.0,,
Global,2005 - 2010,All ages,Both,Alopecia areata,Deaths annual % change,0.0,,
Global,2005 - 2010,All ages,Both,Pruritus,Deaths annual % change,0.0,,
Global,2005 - 2010,All ages,Both,Urticaria,Deaths annual % change,0.0,,
Global,2005 - 2010,All ages,Both,Decubitus ulcer,Deaths annual % change,0.0065733730647192,,
Global,2005 - 2010,All ages,Both,Other skin and subcutaneous diseases,Deaths annual % change,0.0109221793578981,,
Global,2005 - 2010,All ages,Both,Age-related and other hearing loss,Deaths annual % change,0.0,,
Global,2005 - 2010,All ages,Both,Other sense organ diseases,Deaths annual % change,0.0,,
Global,2005 - 2010,All ages,Both,Oral disorders,Deaths annual % change,0.0,,
Global,2005 - 2010,All ages,Both,Sudden infant death syndrome,Deaths annual % change,-0.0311873777170123,,
Global,2005 - 2010,All ages,Both,Road injuries,Deaths annual % change,-0.0103757946936111,,
Global,2005 - 2010,All ages,Both,Other transport injuries,Deaths annual % change,-0.0099124026815338,,
Global,2005 - 2010,All ages,Both,Falls,Deaths annual % change,0.0087667939833703,,
Global,2005 - 2010,All ages,Both,Drowning,Deaths annual % change,-0.035210560155278,,
Global,2005 - 2010,All ages,Both,Poisonings,Deaths annual % change,-0.0224764610022997,,
Global,2005 - 2010,All ages,Both,Exposure to mechanical forces,Deaths annual % change,-0.0188456325755424,,
Global,2005 - 2010,All ages,Both,Adverse effects of medical treatment,Deaths annual % change,-0.0005455561863922,,
Global,2005 - 2010,All ages,Both,Animal contact,Deaths annual % change,-0.0152475833339978,,
Global,2005 - 2010,All ages,Both,Foreign body,Deaths annual % change,-0.0183069206181149,,
Global,2005 - 2010,All ages,Both,Other unintentional injuries,Deaths annual % change,-0.0159940586980799,,
Global,2005 - 2010,All ages,Both,Self-harm,Deaths annual % change,-0.0151676721447045,,
Global,2005 - 2010,All ages,Both,Interpersonal violence,Deaths annual % change,-0.0176683322604073,,
Global,2005 - 2010,All ages,Both,Exposure to forces of nature,Deaths annual % change,0.1971071563821087,,
Global,2005 - 2010,All ages,Both,Environmental heat and cold exposure,Deaths annual % change,0.0887922517887535,,
Global,2005 - 2010,All ages,Both,Ebola,Deaths annual % change,0.0,,
Global,2005 - 2010,All ages,Both,Executions and police conflict,Deaths annual % change,-0.0232413288591951,,
Global,2005 - 2010,All ages,Both,Zika virus,Deaths annual % change,0.0,,
Global,2005 - 2010,All ages,Both,Guinea worm disease,Deaths annual % change,0.0,,
Global,2005 - 2010,All ages,Both,Conflict and terrorism,Deaths annual % change,0.0325757458770547,,
Global,2005 - 2010,All ages,Both,Typhoid and paratyphoid,Deaths annual % change,-0.0321463924891874,,
Global,2005 - 2010,All ages,Both,Invasive Non-typhoidal Salmonella (iNTS),Deaths annual % change,-0.0331555521658668,,
Global,2005 - 2010,All ages,Both,Headache disorders,Deaths annual % change,0.0,,
Global,2005 - 2010,All ages,Both,Bacterial skin diseases,Deaths annual % change,0.0157828829953705,,
Global,2005 - 2010,All ages,Both,Blindness and vision impairment,Deaths annual % change,0.0,,
Global,2005 - 2010,All ages,Both,Upper digestive system diseases,Deaths annual % change,-0.0210665961297803,,
